Date/Time,CPU Usage %,Memory Available
2022-04-03 15:59:41.646750,9.2,18.94602966
2022-04-03 15:59:52.076747,10.1,18.93529892
2022-04-03 16:00:02.500077,10,18.95545578
2022-04-03 16:00:12.950075,8.9,18.94962692
2022-04-03 16:00:23.386752,8.8,18.95387268
2022-04-03 16:00:33.826740,10.2,18.97439194
2022-04-03 16:00:44.263415,11.5,18.97577286
2022-04-03 16:00:54.693409,10.7,18.97011566
2022-04-03 16:01:05.136751,10.3,18.94880295
2022-04-03 16:01:15.596737,10,18.95251465
2022-04-03 16:01:26.000072,10.1,18.96395493
2022-04-03 16:01:36.425061,12,18.86135483
2022-04-03 16:01:46.863409,11.1,18.74980927
2022-04-03 16:01:57.306731,11.8,18.56971359
2022-04-03 16:02:07.863396,14,18.65904236
2022-04-03 16:02:18.296737,11.3,18.5367012
2022-04-03 16:02:28.880076,12.1,18.53891754
2022-04-03 16:02:39.340064,9.3,18.53536606
2022-04-03 16:02:49.786736,9.5,18.5353775
2022-04-03 16:03:00.226730,9.5,18.54952621
2022-04-03 16:03:10.733405,9.5,18.55417252
2022-04-03 16:03:21.176724,8.9,18.54811096
2022-04-03 16:03:31.691136,9.4,18.55359268
2022-04-03 16:03:42.240072,10.5,18.54024506
2022-04-03 16:03:52.713390,9.3,18.55495453
2022-04-03 16:04:03.164889,8.9,18.54279327
2022-04-03 16:04:13.600062,9.5,18.55157852
2022-04-03 16:04:24.090238,10.1,18.52617645
2022-04-03 16:04:34.550056,9.7,18.52841949
2022-04-03 16:04:44.993477,10,18.53668594
2022-04-03 16:04:55.483382,9.9,18.52009201
2022-04-03 16:05:05.978857,9.6,18.52641678
2022-04-03 16:05:16.406723,9.8,18.52106857
2022-04-03 16:05:26.870044,10.3,18.5054245
2022-04-03 16:05:37.290055,9.1,18.48501205
2022-04-03 16:05:47.728233,9.4,18.49850464
2022-04-03 16:05:58.210047,9.5,18.50623703
2022-04-03 16:06:08.643374,10.4,18.51884842
2022-04-03 16:06:19.073373,9,18.51705551
2022-04-03 16:06:29.513386,9.5,18.49559021
2022-04-03 16:06:39.960035,9.6,18.51122665
2022-04-03 16:06:50.413375,9.5,18.49261856
2022-04-03 16:07:00.873372,9.7,18.51211929
2022-04-03 16:07:11.430041,9.8,18.50390244
2022-04-03 16:07:21.880075,9.5,18.49605179
2022-04-03 16:07:32.490704,10,18.52565384
2022-04-03 16:07:42.980028,10.8,18.53321457
2022-04-03 16:07:53.430036,11.8,18.56046295
2022-04-03 16:08:04.000039,9.5,18.55771255
2022-04-03 16:08:14.443368,8.3,18.54821396
2022-04-03 16:08:24.866706,8.6,18.54363632
2022-04-03 16:08:35.286693,9.2,18.52903366
2022-04-03 16:08:45.703378,9.1,18.52295303
2022-04-03 16:08:56.174259,8.6,18.53078842
2022-04-03 16:09:06.643364,8.6,18.51975632
2022-04-03 16:09:17.143375,8.4,18.52156448
2022-04-03 16:09:27.586700,8.3,18.51073074
2022-04-03 16:09:38.043497,8.9,18.50078201
2022-04-03 16:09:48.467093,9.3,18.51713181
2022-04-03 16:09:58.910025,8.7,18.51436615
2022-04-03 16:10:09.456690,8.2,18.52101898
2022-04-03 16:10:19.893349,8.8,18.52140427
2022-04-03 16:10:30.370025,8.3,18.52059555
2022-04-03 16:10:40.826686,9.1,18.52146149
2022-04-03 16:10:51.280027,8.2,18.52535629
2022-04-03 16:11:01.730010,9.8,18.51595306
2022-04-03 16:11:12.286705,9,18.50675201
2022-04-03 16:11:22.716697,8.8,18.51628494
2022-04-03 16:11:33.149900,8.8,18.52338028
2022-04-03 16:11:43.677813,9,18.5084343
2022-04-03 16:11:54.282939,8.4,18.50275803
2022-04-03 16:12:04.714867,8.5,18.51008987
2022-04-03 16:12:15.243338,9.3,18.50270081
2022-04-03 16:12:25.706682,9,18.4944458
